,coin,price,24h_volume,mkt_cap,circulating_supply,mkt_cap_ratio,volatility_score
0,67,17.790167875,97440846.0,1313442555.625,73829688.67150164,0.07418736783173048,0.01721433511156714
1,148,17.790167875,97440846.0,1313442555.625,73829688.67150164,0.07418736783173048,0.021377558326431952
2,417,1.0,97440846.0,1313442555.625,1313442555.625,0.07418736783173048,0.0005773502691896258
3,45,17.790167875,97440846.0,1313442555.625,73829688.67150164,0.07418736783173048,0.012055427546683367
4,439,0.999874,97440846.0,1313442555.625,1313608070.2418504,0.07418736783173048,0.0005773502691896258
5,470,0.785018,97440846.0,1313442555.625,1673136865.1737921,0.07418736783173048,0.0404145188432738
6,415,17.790167875,97440846.0,1313442555.625,73829688.67150164,0.07418736783173048,0.02557994005726623
7,382,17.790167875,97440846.0,1313442555.625,73829688.67150164,0.07418736783173048,0.013650396819628836
8,79,0.824161,97440846.0,1313442555.625,1593672299.0107515,0.07418736783173048,0.0069282032302754515
9,322,17.790167875,97440846.0,1313442555.625,73829688.67150164,0.07418736783173048,0.03585154575933001
10,40,17.790167875,97440846.0,1313442555.625,73829688.67150164,0.07418736783173048,0.01274100990241093
11,63,1.0,97440846.0,1313442555.625,1313442555.625,0.07418736783173048,0.002309401076758503
12,133,0.11566,97440846.0,1313442555.625,11356065672.012796,0.07418736783173048,0.017776388834631177
13,416,1.0,97440846.0,1313442555.625,1313442555.625,0.07418736783173048,0.002
14,377,2.241815e-05,97440846.0,1313442555.625,58588356114353.766,0.07418736783173048,0.027209067116189995
15,466,17.790167875,97440846.0,1313442555.625,73829688.67150164,0.07418736783173048,0.018027756377319945
16,110,0.401575,97440846.0,1313442555.625,3270727897.9642653,0.07418736783173048,0.013228756555322952
17,324,1.44,97440846.0,1313442555.625,912112885.8506945,0.07418736783173048,0.018357559750685797
18,117,0.999429,97440846.0,1313442555.625,1314192959.8050487,0.07418736783173048,0.0005773502691896258
19,105,17.790167875,97440846.0,1313442555.625,73829688.67150164,0.07418736783173048,0.017009801096230764
20,243,17.790167875,97440846.0,1313442555.625,73829688.67150164,0.07418736783173048,0.043038742236888534
21,239,17.790167875,20327033.0,1313442555.625,73829688.67150164,0.015476149233132931,0.02154839514519198
22,283,10.61,97440846.0,1313442555.625,123792889.31432611,0.07418736783173048,0.03178574103797699
23,89,14.41,97440846.0,1313442555.625,91147991.36884108,0.07418736783173048,0.039509492530276816
24,410,0.060751875857,97440846.0,1313442555.625,21619786008.198814,0.07418736783173048,0.004163331998932265
25,159,17.790167875,91093038.0,1313442555.625,73829688.67150164,0.06935441341525096,0.013428824718989122
26,68,17.790167875,97440846.0,1313442555.625,73829688.67150164,0.07418736783173048,0.013076696830622021
27,235,5.97,831673.0,1313442555.625,220007128.24539363,0.0006332008936654633,0.026888659319497535
28,293,17.790167875,97440846.0,1313442555.625,73829688.67150164,0.07418736783173048,0.02956912804486012
29,17,0.731009,97440846.0,1313442555.625,1796752920.4496799,0.07418736783173048,0.01789785834487839
30,394,0.186969,97440846.0,1313442555.625,7024921541.1378355,0.07418736783173048,0.03350124375800596
31,443,9.05,97440846.0,1313442555.625,145131774.10220993,0.07418736783173048,0.007505553499465135
32,187,0.200008,65559083.0,1313442555.625,6566950100.1209955,0.049913932451201716,0.018009256878986798
33,42,17.790167875,97440846.0,1313442555.625,73829688.67150164,0.07418736783173048,0.026501572280401276
34,124,2.43,97440846.0,1313442555.625,540511339.7633744,0.07418736783173048,0.027646579052991987
35,149,17.790167875,97440846.0,1313442555.625,73829688.67150164,0.07418736783173048,0.011357816691600525
36,142,17.790167875,97440846.0,1313442555.625,73829688.67150164,0.07418736783173048,0.06860757975617555
37,421,3.08,97440846.0,1313442555.625,426442388.189935,0.07418736783173048,0.046285346853332895
38,211,16.26,97440846.0,1313442555.625,80777524.94618696,0.07418736783173048,0.03146956201368766
39,273,17.790167875,97440846.0,1313442555.625,73829688.67150164,0.07418736783173048,0.04636090306856989
40,486,17.790167875,1088.54,1313442555.625,73829688.67150164,8.287686395862357e-07,0.021377558326431952
41,447,0.047848054559,97440846.0,1313442555.625,27450281264.945335,0.07418736783173048,0.0028867513459481875
42,161,1.22,97440846.0,1313442555.625,1076592258.7090163,0.07418736783173048,0.06522525073415458
43,164,17.27,97440846.0,1313442555.625,76053419.54979734,0.07418736783173048,0.03132091952673159
44,306,9.39,94042665.0,1313442555.625,139876736.4882854,0.07160013553485779,0.010016652800877794
45,229,1.1,57133059.0,1313442555.625,1194038686.931818,0.04349871165306754,0.018520259177452134
46,168,0.998392,18194194.0,1313442555.625,1315557972.8453355,0.013852295193330564,0.0015275252316519468
47,461,17.790167875,97440846.0,1313442555.625,73829688.67150164,0.07418736783173048,0.07002142529254883
48,423,2.82,97440846.0,1313442555.625,465759771.498227,0.07418736783173048,0.02107921567168317
49,254,0.997676,44641451.0,1313442555.625,1316502106.5205538,0.033988125943397215,0.002
50,420,0.440816,97440846.0,1313442555.625,2979570967.5352077,0.07418736783173048,0.07854298186343571
51,419,3.05,97440846.0,1313442555.625,430636903.4836066,0.07418736783173048,0.006110100926607788
52,488,0.022533007284,41.83,1313442555.625,58289714243.23088,3.1847605227086044e-08,0.0011547005383792516
53,188,17.790167875,22415718.0,1313442555.625,73829688.67150164,0.01706638627171137,0.025059928172283336
54,408,7.23,97440846.0,1313442555.625,181665637.01590595,0.07418736783173048,0.10223502335305638
55,139,2.06,97440846.0,1313442555.625,637593473.6043689,0.07418736783173048,0.014525839046333951
56,138,0.003406821495,3444049.0,1313442555.625,385533130383.4573,0.002622154265712179,0.10457692543450159
